Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.4719395745,16441.3812596351,16586.1922970903,17927.4120263906,19081.570288414,19356.4208651472,20619.5658496388,20671.545738502,20433.6541088167,20834.9397101237,22566.6821576324,23302.8319880055,24015.4206122701,25921.5382341406,27549.8894224976,24640.4212441218,24289.1415161326,25353.7875446441,,,,,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3238.0914624024,3497.9103153491,4217.4029146143,5343.1183256133,6320.9718780469,7168.3996534753,7151.5704814873,7751.1672996784,9127.6088693862,11819.6492070738,12377.7159819699,10372.3265550741,9611.239684209,8023.3464217276,7729.3241153517,7775.0269368502,10362.1668559332,12615.0511216815,14305.2085377854,15166.9138405885,18876.729351928,19530.8435047204,20541.7738959473,16508.8752202349,16226.971079738,18460.007428295,19038.7988311469,18405.3200974733,18969.9779859045,19323.8925471569,21432.9600712136,21897.6629394768,24175.3727542522,31742.9925847537,37235.4500323146,39990.3304085679,42417.2291456984,47253.5297963111,46735.9995745016,42701.447136255,39639.386021211,41630.0525792977,39666.3692147448,42806.5224483021,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7876807072,59.8900369372,58.5059950141,78.8025868555,82.2313945581,101.321627084,137.9467828757,161.3847017598,129.5623184484,129.8573781694,157.2584607676,160.443151793,136.1756113489,144.1739444069,175.0270977411,188.085136087,199.1648093241,226.1964266735,249.5737098222,278.3906251718,275.6498281322,267.6624236227,,,,,,,,,,,,,,,,,,,,119.8990371116,192.1535282788,203.6510409232,224.9147121934,257.1757946563,280.2456441069,380.4009551866,384.1316812768,458.9557815858,569.9407287933,622.3796543585,690.842629015,653.347488111,633.9478642946,590.2695153826,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,685.9259743541,666.8687189969,649.8813090051,633.9073336855,926.600626626,901.1076018335,1265.6273094499,872.7676639997,825.6981351378,823.8855437082,380.8719231095,560.6755165948,554.252232901,454.2965495189,421.3767773336,606.2722922443,574.1941611374,775.7655184597,850.0756941297,1135.6045635509,1576.1628006669,2253.8388500387,3151.0224310529,4242.3630623409,3678.9476544718,3886.4793543252,4744.9876294959,5086.8484258086,5327.1488921923,5232.6905005413,4102.1185896927,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,662.5200523091,662.9147925671,719.1572957039,699.3842920867,676.56673252,723.4096102379,639.4638992899,348.711317787,218.4921659026,380.5273710843,619.0651634471,760.5593757741,1046.3585105892,749.5846489725,865.3021618451,1098.4254633894,1175.788980734,1326.9703392934,1453.6427766085,1890.6815574354,2416.5882350701,2709.142930562,3005.0129033756,3603.0136853664,4370.5396465315,4114.1365449095,4094.3588319192,4437.8119990258,4247.8398520191,4412.3455781342,4588.6494401481,3965.0168055849,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,220.8948205263,237.1221045955,254.5808199742,287.8465569759,333.6095601198,412.6272074377,768.8776869093,825.532020789,996.3536990539,1113.7490667996,1191.4299351795,1555.6153452442,2053.5177048525,2048.3220221573,1850.0523139994,1683.3195624216,1656.2950755503,1585.9340282953,1465.808380433,1542.6276980829,1474.2818032922,1503.8052725837,2008.029447695,1923.4689130314,2023.8383345718,1993.4370937882,1987.282181691,2070.0197095563,2233.9631632025,2317.9803925861,2188.7491004277,2334.397880686,2608.8859488904,2513.6482535562,2481.2116381664,2742.0171741896,3146.0757607906,3779.8910782392,4375.6937037412,4993.4107442489,6178.1722778609,5213.321664958,5957.9495864259,6918.9047255226,7519.6592156267,7561.6523035089,7478.997516639,6453.9738135111,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,27708.7195506655,30886.5717699381,34407.9812874137,28735.8033334866,33673.4193402514,42878.854380409,45131.3356812396,40244.8374519623,35135.8686387129,32655.3718742793,30067.1341631547,23727.6987976109,23953.3405440863,22476.971471363,24218.5527454209,27989.301267604,26945.6591464759,26864.1881075461,26141.3306464453,26495.8215612079,27973.7428158486,29813.3723096431,30378.5453428093,27681.310528386,29278.7686208249,34207.5389498903,32105.6478664635,32355.4095972427,34294.8939976005,37179.6818919642,40298.5242178562,42950.1005841305,42913.7840342254,45720.0178979792,32905.0538494054,34341.9112921486,39901.2209155518,41712.1242109135,42831.0891322689,43962.7136932011,40438.3763627115,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1148.5799849916,845.0769828638,1166.3175587244,1272.0105804584,1266.3450656825,1057.7557077927,1136.5180579019,1324.0826325536,1317.4874998622,1366.3545765106,1401.4877323926,2083.9722298857,2824.6510412699,2011.6890558658,1932.5907124034,2112.5010160157,2129.3137152714,2501.4811144921,2738.2846257397,2756.3967882498,2907.7574264865,3530.131663303,2643.3691330955,2909.5168016204,3595.0861312457,3546.7188201557,3969.3276613413,2375.3392499715,4318.7745675551,5715.5040522025,6798.0271667107,6940.3513753902,7449.4806053363,7373.4274028801,7683.5738479082,8172.6652353431,8248.7647199027,7736.3725779273,7669.2737085843,7170.6896981936,2579.1881989888,3330.4286600685,4251.5653466058,5096.2583324751,5904.6781322834,7226.2702945275,8992.5896191967,8198.5661113629,10332.0323662966,12800.2018563295,13040.306395228,13027.2048221392,12324.9387857728,13431.8783398577,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.6806899965,589.0029482239,368.9168367934,356.5073514422,399.7512025223,455.5502760862,503.2319696202,522.5220720402,608.3366487308,596.505996304,621.4248263189,692.3016308889,779.8296261316,924.4640098178,1181.9684454224,1625.4077691268,2126.6186610718,3080.9709594357,3919.9754738106,2915.5839059087,3124.784017862,3417.1718359992,3565.5175749254,3716.8289225446,3873.5335658068,3499.8042175986,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,941.9199304543,1061.6604390078,1307.396412792,1565.6486354791,1784.4152080985,2000.751985722,2255.3690170917,2595.0242742144,3070.4392704724,3806.14955427,4512.5396795218,5415.8478095671,6025.8475819252,6325.2409048394,6575.4804987645,6680.3758704002,7037.9391539286,7514.4836797729,7230.3206365153,7702.6702836369,8027.6311309648,8355.6186431965,8572.3734807782,10094.7590646488,9797.968712774,10027.8562205839,10382.6309004545,10993.3692472668,12079.8656950416,13599.908857304,15276.0682646698,15786.1728395062,13979.2626925883,13017.3103875487,12817.8415733094,13525.616220134,13342.0849977054,13432.0792079208,14128.8785463675,
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1806.8048763929,1873.4500915663,1851.0077816768,1963.2299658749,2127.1657387955,2276.5749534152,2338.9006930277,2574.6708899053,2718.1241723913,2985.1229621611,3297.783658891,3487.6149242355,3940.8619805538,4759.9896199305,6469.0839830135,6987.82099458,7469.2031907035,7757.7155740187,8233.5918039516,9272.7573815727,10186.1282398774,11826.0429014143,12758.6710307245,11510.1432539896,12429.090984006,11434.3544445241,11361.2700179349,11625.5567567271,14261.3351903835,17810.9536070722,18221.6912110476,18836.7805847441,18591.2205236257,17657.2442411201,18079.2639426659,20360.1822127719,21917.7192180061,23522.7787661215,21340.0621127075,20536.4123093012,21665.1154539573,19495.1459333809,20059.4520721372,23440.0053221856,30440.8548786229,33982.9504271591,36084.8589777475,40957.8304392487,49628.1151270179,42715.1322619629,51845.6548605562,62216.5471294133,67646.1038529626,67652.6832146189,61995.8296976,56327.7214484289,
